stationId,name,city,district,totalDocks,bikeRisk,dockRisk,combinedRisk,workdayBikePeakTime,workdayBikePeakRate,workdayDockPeakTime,workdayDockPeakRate,weekendBikePeakTime,weekendBikePeakRate,weekendDockPeakTime,weekendDockPeakRate,clusterId,clusterSize,latitude,longitude
st_19a1d6c3d1b84c,"文化路二段182巷1弄",新北市,板橋區,49,0.520,0.008,0.528,23:30,0.962,12:00,0.040,00:00,0.962,14:00,0.115,st_023bc09e7858a3,6,25.02926,121.47241
st_f2f38b019741a6,"縣民民生路口",新北市,板橋區,13,0.417,0.107,0.524,17:30,0.960,05:00,0.538,13:00,0.846,00:00,0.346,st_f2f38b019741a6,5,25.01836,121.47072
st_44cc64d5861b23,"捷運土城站(1號出口)",新北市,土城區,10,0.292,0.231,0.523,22:30,0.962,08:30,0.800,22:30,0.846,13:30,0.808,st_44cc64d5861b23,1,24.97314,121.44418
st_25d1cc2d4b8f83,"捷運頂溪站(復興街1巷)",新北市,永和區,15,0.450,0.071,0.521,18:30,1.000,10:30,0.385,22:30,1.000,14:30,0.385,st_5b4b5d79a7fbfb,3,25.0131,121.51544
st_ba8b793b86161d,"捷運南勢角站(4號出口)",新北市,中和區,96,0.467,0.054,0.521,05:00,1.000,17:30,0.346,05:00,1.000,14:30,0.346,st_ba8b793b86161d,1,24.98942,121.50998
st_57258e89f56640,"捷運板橋站(3號出口)",新北市,板橋區,89,0.471,0.046,0.517,05:30,1.000,13:30,0.280,23:30,0.962,15:00,0.269,st_57258e89f56640,1,25.01452,121.46179
st_14d9b80933349c,"捷運三重國小站",新北市,三重區,52,0.450,0.067,0.517,22:30,1.000,07:00,0.692,23:00,1.000,14:30,0.308,st_14d9b80933349c,1,25.07042,121.49713
st_8a56aa6d6b2839,"三民翠華街口",新北市,板橋區,10,0.386,0.128,0.514,10:30,0.846,05:00,0.731,13:30,0.808,05:00,0.538,st_8a56aa6d6b2839,1,25.02317,121.48024
st_147f91b455c48a,"捷運新埔站(4號出口)",新北市,板橋區,70,0.506,0.007,0.513,02:30,1.000,18:00,0.040,23:30,1.000,18:30,0.077,st_147f91b455c48a,1,25.02341,121.46857
st_e2654846d8641d,"大觀路二段265巷3弄口",新北市,板橋區,10,0.373,0.138,0.512,13:00,0.808,05:30,0.600,15:00,0.846,08:00,0.423,st_e2654846d8641d,1,24.99828,121.44286
st_ec02bec3ca53d8,"捷運新北產業園區站",新北市,新莊區,70,0.503,0.007,0.510,22:00,0.920,19:30,0.115,22:00,0.962,18:30,0.077,st_ec02bec3ca53d8,2,25.06203,121.45918
st_60b34282f21286,"三和慈愛街口",新北市,三重區,11,0.464,0.046,0.510,22:00,0.962,17:30,0.200,22:30,0.962,18:00,0.192,st_73af4e11afdf98,3,25.07814,121.48417
st_be5338a3744db1,"華江公園",新北市,板橋區,12,0.448,0.061,0.510,17:30,0.923,22:00,0.346,14:30,0.885,06:00,0.269,st_f2f38b019741a6,5,25.01946,121.47099
st_dbab779ab844f8,"民權二十張路口",新北市,新店區,14,0.339,0.170,0.509,22:30,0.960,17:00,0.720,00:00,0.923,14:00,0.615,st_21bac96ef28b0d,3,24.98291,121.53966
st_c26861829fc4bc,"亞東醫院",新北市,板橋區,61,0.375,0.132,0.507,22:30,0.962,08:00,0.808,05:30,0.962,13:30,0.538,st_c26861829fc4bc,2,24.99837,121.45318
st_72ad61784e017a,"員林平面停車場",新北市,土城區,9,0.404,0.102,0.506,09:00,0.846,22:30,0.400,16:30,0.654,23:30,0.231,st_72ad61784e017a,1,24.97681,121.44437
st_ac8232157fdd65,"十分遊客中心",新北市,平溪區,42,0.505,0.000,0.505,06:00,0.647,,,14:30,0.731,,,st_ac8232157fdd65,1,25.04711,121.78279
st_72e80417fc0554,"三重社會福利服務中心",新北市,三重區,11,0.393,0.109,0.502,09:00,0.962,06:30,0.462,11:30,0.885,04:00,0.269,st_72e80417fc0554,1,25.07781,121.49128
st_ba387cb6cb1aaf,"捷運迴龍站(2號出口)",新北市,新莊區,11,0.386,0.113,0.499,01:30,0.923,07:00,0.731,23:00,0.769,07:00,0.538,st_ba387cb6cb1aaf,1,25.0211,121.411
st_354ad6a624f078,"覺明寺(豐年街53巷)",新北市,新莊區,11,0.306,0.191,0.497,15:00,0.800,22:00,0.808,16:00,0.846,05:00,0.692,st_354ad6a624f078,1,25.03172,121.44721
st_930a8ad398cc4f,"縣民漢生東路口",新北市,板橋區,71,0.489,0.005,0.495,09:30,0.885,13:30,0.038,22:30,0.769,17:00,0.077,st_f2f38b019741a6,5,25.01578,121.46779
st_0d6d9b202807bd,"仁美街/三和路四段145巷口",新北市,三重區,12,0.435,0.058,0.493,09:30,0.923,05:30,0.280,15:30,0.769,05:00,0.192,st_73af4e11afdf98,3,25.07872,121.48636
st_8fdc06e3cb09bb,"淡水行政中心",新北市,淡水區,10,0.351,0.140,0.491,22:00,0.769,14:30,0.560,22:00,0.808,14:00,0.385,st_8fdc06e3cb09bb,1,25.18696,121.44407
st_73dbfa8e4e3a50,"延吉街291巷口",新北市,土城區,10,0.393,0.097,0.490,13:00,0.885,22:00,0.480,15:00,0.846,08:30,0.423,st_73dbfa8e4e3a50,1,24.98394,121.46716
st_c77837e1e9d4ea,"捷運新店區公所站(1號出口)",新北市,新店區,42,0.446,0.041,0.487,23:30,0.923,18:30,0.385,00:30,0.846,14:30,0.154,st_c77837e1e9d4ea,1,24.96737,121.54101
st_09551e71514cfe,"思源路593巷口",新北市,新莊區,16,0.478,0.005,0.483,23:00,0.941,23:30,0.125,23:00,0.875,11:30,0.063,st_ec02bec3ca53d8,2,25.05954,121.45962
st_7fd4cae50011a8,"建國民權路口",新北市,新店區,32,0.432,0.050,0.482,23:00,0.846,09:30,0.385,08:00,1.000,14:00,0.154,st_21bac96ef28b0d,3,24.98318,121.53746
st_4b695754bf6274,"縣民觀光街口",新北市,板橋區,24,0.430,0.050,0.480,08:30,0.923,19:00,0.269,15:30,0.615,18:00,0.231,st_f2f38b019741a6,5,25.01702,121.4692
st_4ba0514d8ba2f5,"民生縣民大道口(東南側)",新北市,板橋區,22,0.444,0.031,0.475,10:30,0.957,23:30,0.261,13:30,1.000,01:00,0.174,st_f2f38b019741a6,5,25.01862,121.47166
st_1d7685aea741f7,"捷運亞東醫院站(2號出口)",新北市,板橋區,52,0.457,0.018,0.475,23:30,0.923,17:00,0.192,01:00,0.923,18:30,0.269,st_c26861829fc4bc,2,24.99763,121.4522
st_887ce4134a4a1c,"縣民富山街口",新北市,板橋區,10,0.374,0.100,0.474,08:30,0.880,18:30,0.462,14:30,0.846,22:30,0.423,st_887ce4134a4a1c,1,25.02201,121.47605
