"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1.6 / 119","1.0 / 141","2.1 / 172","2.4 / 166","1.4 / 141","0.0 / 0","0.5 / 102","2.3 / 254","2.3 / 261","2.1 / 297","1.3 / 311","1.7 / 344","2.0 / 333","1.2 / 335","1.2 / 312","2.5 / 281","2.2 / 272","1.9 / 283","0.3 / 237","0.2 / 0","0.4 / 38","0.9 / 134","0.7 / 208","0.6 / 153","1.4"
"02","0.2 / 0","0.3 / V","0.3 / V","0.3 / 318","0.2 / 0","0.3 / 115","0.8 / 154","0.7 / 85","0.6 / 360","0.9 / 29","0.9 / 142","2.3 / 305","1.8 / 12","1.4 / 328","1.2 / 9","1.9 / 48","0.5 / 22","1.2 / 31","0.1 / 0","1.2 / 151","0.3 / 260","0.7 / 223","0.1 / 0","0.2 / 0","0.8"
"03","0.1 / 0","0.5 / 344","0.0 / 0","0.1 / 0","0.2 / 0","0.2 / 0","0.9 / 142","0.8 / 77","0.4 / 153","0.6 / 131","1.0 / 115","1.1 / 6","1.7 / 339","1.5 / 21","1.8 / 56","1.7 / 68","1.0 / 22","1.6 / 68","1.4 / 60","0.3 / 118","0.8 / 135","0.3 / 132","0.2 / 0","0.4 / 61","0.8"
"04","0.7 / 170","0.3 / 355","1.3 / 252","0.5 / 111","0.1 / 0","0.5 / 81","0.4 / 99","1.0 / 160","1.2 / 69","1.0 / 116","1.6 / 271","1.6 / 155","1.0 / 151","1.1 / 113","2.5 / 51","1.7 / 348","1.4 / 278","4.0 / 178","1.5 / 228","0.7 / 140","0.9 / 131","0.4 / 204","0.8 / 150","0.4 / 110","1.1"
"05","1.5 / 167","2.6 / 150","0.6 / 138","1.0 / 238","0.2 / 0","0.1 / 0","0.7 / 240","0.3 / 136","0.0 / 0","0.2 / 0","1.0 / 225","3.3 / 235","0.4 / 99","0.1 / 0","0.5 / 240","0.6 / 160","0.5 / 243","0.4 / 261","1.2 / 311","1.7 / 305","0.2 / 0","0.1 / 0","2.2 / 269","2.0 / 257","0.9"
"06","1.7 / 281","2.5 / 286","2.0 / 287","1.9 / 291","3.5 / 283","2.7 / 294","3.3 / 278","3.2 / 281","2.9 / 285","2.3 / 280","2.8 / 288","2.5 / 291","1.3 / 239","0.4 / 235","2.6 / 290","2.6 / 303","0.2 / 0","0.5 / 3","0.1 / 0","0.4 / 178","0.6 / 145","0.5 / 219","0.2 / 0","0.2 / 0","1.7"
"07","0.1 / 0","0.5 / 79","0.1 / 0","0.3 / 157","0.8 / 44","0.3 / 44","1.2 / 128","0.7 / 122","0.9 / 67","1.8 / 261","1.5 / 285","1.3 / 147","1.5 / 338","2.5 / 149","1.2 / 307","1.2 / 198","1.1 / 75","0.4 / 209","0.4 / 191","1.0 / 171","0.4 / 9","2.0 / 150","0.6 / 289","0.5 / 78","0.9"
"08","0.2 / 0","0.0 / 0","0.0 / 0","0.3 / 155","0.2 / 0","0.3 / 318","0.4 / 287","0.5 / 289","0.3 / 233","1.0 / 45","1.0 / 202","1.2 / 308","0.9 / 23","2.7 / 291","0.5 / 145","1.1 / 86","0.3 / 233","0.2 / 0","0.2 / 0","0.1 / 0","0.6 / 130","0.0 / 0","0.1 / 0","0.5 / 172","0.5"
"09","0.1 / 0","0.0 / 0","0.0 / 0","0.7 / 224","0.3 / 171","1.2 / 304","0.8 / 128","1.7 / 72","1.8 / 75","0.9 / 163","1.0 / 79","1.0 / 69","2.2 / 79","2.3 / 77","1.3 / 66","1.7 / 38","1.3 / 68","1.3 / 31","1.7 / 46","0.9 / 68","0.3 / 344","1.0 / 360","0.1 / 0","0.2 / 0","1.0"
"10","0.0 / 0","0.3 / 42","0.3 / 110","0.5 / 99","0.0 / 0","0.0 / 0","0.1 / 0","0.5 / 231","0.2 / 0","0.5 / 341","0.7 / 271","1.9 / 102","1.4 / 103","1.6 / 85","1.0 / 98","1.4 / 85","1.6 / 71","0.9 / 94","1.1 / 134","1.1 / 103","1.0 / 143","1.5 / 172","1.9 / 155","1.8 / 135","0.9"
"11","1.2 / 96","0.0 / 0","0.2 / 0","1.5 / 88","1.0 / 139","1.2 / 74","0.6 / 76","0.1 / 0","1.4 / 29","0.2 / 0","1.3 / 38","0.4 / 43","1.3 / 66","3.4 / 54","1.7 / 36","0.5 / 40","1.0 / 13","0.5 / 57","0.3 / 91","0.6 / 62","1.1 / 51","0.7 / 116","1.0 / 86","0.2 / 0","0.9"
"12","1.7 / 75","0.4 / 93","0.1 / 0","0.1 / 0","1.1 / 92","0.5 / 259","0.1 / 0","0.0 / 0","0.1 / 0","0.6 / 11","1.3 / 342","1.9 / 34","2.2 / 40","1.2 / 10","0.7 / 349","1.4 / 49","2.1 / 62","2.2 / 54","1.4 / 62","2.5 / 73","1.1 / 111","0.9 / 129","0.1 / 0","0.8 / 78","1.0"
"13","0.9 / 75","0.7 / 127","1.8 / 134","0.6 / 103","1.8 / 126","0.6 / 46","0.6 / 243","1.2 / 140","0.2 / 0","0.2 / 0","0.3 / 54","1.1 / 2","1.2 / 309","0.1 / 0","0.3 / 245","0.5 / 142","0.2 / 0","0.5 / 179","0.2 / 0","0.0 / 0","0.1 / 0","1.6 / 145","1.6 / 115","0.6 / 274","0.7"
"14","0.0 / 0","0.2 / 0","0.0 / 0","0.4 / 59","1.2 / 134","1.2 / 145","1.4 / 132","0.4 / 202","0.3 / 69","0.5 / 146","0.3 / 105","0.2 / 0","0.6 / 87","0.4 / 78","0.4 / 27","0.3 / 349","0.0 / 0","0.6 / 128","0.0 / 0","0.5 / 68","1.4 / 87","0.9 / 84","1.9 / 145","1.5 / 124","0.6"
"15","1.8 / 139","1.6 / 115","0.7 / 279","0.6 / 320","0.2 / 0","1.6 / 156","1.2 / 132","0.4 / 146","0.8 / 144","0.7 / 227","0.9 / 282","1.7 / 279","0.8 / 160","0.5 / 129","0.2 / 0","1.2 / 275","0.1 / 0","1.0 / 131","1.1 / 123","2.9 / 157","1.8 / 134","1.8 / 249","0.4 / 327","1.1 / 132","1.0"
"16","0.5 / 162","2.0 / 138","2.4 / 141","1.1 / 209","0.8 / 282","1.0 / 160","0.5 / V","2.2 / 147","0.9 / 146","0.3 / 61","0.6 / 188","0.7 / 31","0.6 / 139","0.2 / 0","1.2 / 55","2.8 / 162","1.0 / 150","0.3 / 140","0.1 / 0","0.8 / 58","0.2 / 0","0.7 / 102","0.8 / 105","1.4 / 278","1.0"
"17","1.1 / 131","0.3 / 96","0.4 / 170","0.0 / 0","0.3 / 78","0.1 / 0","0.8 / 2","1.4 / 143","0.8 / 360","0.5 / 115","0.8 / 341","1.1 / 311","0.3 / 360","1.7 / 324","2.4 / 298","0.2 / 0","1.7 / 154","2.3 / 155","0.3 / 195","1.6 / 134","1.7 / 145","0.9 / 84","0.2 / 0","0.4 / 217","0.9"
"18","0.5 / 333","0.2 / 0","1.5 / 133","0.8 / 251","0.5 / V","0.4 / 170","2.1 / 135","1.2 / 126","0.7 / 31","0.8 / 333","1.0 / 3","1.3 / 348","2.4 / 284","3.0 / 349","2.3 / 62","1.4 / 16","2.3 / 154","2.5 / 148","0.9 / 114","0.3 / 96","0.3 / 299","0.4 / 7","0.2 / 0","0.3 / 309","1.1"
"19","0.3 / 119","1.1 / 129","1.3 / 131","0.3 / 231","0.4 / 342","0.5 / 308","1.0 / 133","0.7 / 129","0.9 / 113","1.3 / 25","1.3 / 338","2.1 / 8","1.7 / 50","1.4 / 23","1.3 / 40","0.6 / 37","1.4 / 108","1.3 / 83","0.2 / 0","0.4 / 154","0.1 / 0","1.0 / 56","0.5 / 44","0.7 / 222","0.9"
"20","0.4 / 353","0.9 / 221","0.4 / 10","0.3 / 149","0.5 / 346","1.9 / 144","1.9 / 140","0.6 / 158","0.9 / 8","2.5 / 235","1.3 / 261","1.5 / 233","2.4 / 284","3.3 / 292","3.1 / 296","2.3 / 293","2.2 / 275","1.4 / 265","0.5 / 196","0.4 / 177","0.4 / 60","1.2 / 139","0.7 / 141","0.7 / 223","1.3"
"21","1.3 / 294","0.0 / 0","0.1 / 0","0.2 / 0","0.1 / 0","0.3 / 83","1.4 / 147","0.7 / 126","0.4 / 284","1.4 / 360","1.8 / 291","1.3 / 341","1.9 / 343","1.7 / 307","1.6 / 312","2.0 / 352","2.0 / 34","2.0 / 72","0.5 / 120","0.5 / 129","0.5 / 181","1.1 / 114","1.2 / 118","0.9 / 208","1.0"
"22","0.1 / 0","0.4 / 70","0.1 / 0","0.4 / 176","1.1 / 189","1.4 / 170","1.0 / 137","0.4 / 63","0.6 / 323","0.8 / 121","0.9 / 53","1.1 / 38","1.8 / 349","1.7 / 350","1.4 / 5","1.7 / 342","1.5 / 15","0.8 / 80","0.7 / 114","0.5 / 108","1.0 / 172","0.4 / 122","0.2 / 60","0.9 / 123","0.9"
"23","1.9 / 130","1.3 / 85","0.4 / 220","0.7 / 191","1.3 / 160","0.4 / 4","0.5 / 117","0.5 / 152","0.7 / 117","0.7 / 60","1.1 / 4","0.3 / 177","2.0 / 328","1.7 / 1","1.5 / 342","1.3 / 25","0.6 / 25","0.6 / 27","0.9 / 126","0.9 / 118","1.2 / 130","1.4 / 122","0.8 / 131","0.3 / 212","1.0"
"24","0.4 / 54","0.5 / 143","0.4 / 31","1.1 / 128","0.6 / 95","1.3 / 174","0.5 / 146","0.7 / 106","0.7 / 306","2.4 / 292","2.9 / 288","2.3 / 267","3.0 / 283","1.3 / 333","1.6 / 299","1.6 / 346","1.5 / 344","2.2 / 62","1.5 / 63","1.5 / 76","0.8 / 73","0.7 / 89","0.7 / 135","0.3 / 208","1.3"
"25","0.4 / 239","0.1 / 0","0.4 / 70","1.0 / 239","0.3 / 175","0.1 / 0","0.6 / 330","0.5 / 13","0.9 / 63","0.6 / 23","1.3 / 329","1.6 / 303","2.5 / 298","3.1 / 304","2.5 / 294","2.8 / 247","2.4 / 273","0.9 / 209","1.8 / 249","0.9 / 238","1.5 / 350","0.7 / 39","0.7 / 46","0.6 / 242","1.2"
"26","0.5 / 209","0.0 / 0","0.0 / 0","0.4 / 131","1.3 / 360","0.3 / 360","0.4 / 92","0.2 / 0","0.2 / 0","0.1 / 0","0.3 / 300","1.3 / 58","0.7 / 60","1.1 / 56","0.1 / 0","1.2 / 56","0.7 / 211","0.3 / 149","0.4 / 102","0.5 / 89","0.0 / 0","0.0 / 0","0.0 / 0","0.2 / 0","0.4"
"27","0.3 / 107","1.0 / 87","0.5 / 68","0.7 / 59","0.9 / 99","0.3 / 147","0.2 / 49","0.3 / 109","0.5 / 94","0.7 / 283","1.1 / 277","1.7 / 60","1.5 / 38","0.7 / 351","1.4 / 312","0.3 / 0","2.1 / 60","0.6 / 212","0.3 / 118","0.2 / 0","0.4 / 116","0.2 / 0","1.3 / 111","1.0 / 79","0.8"
"28","0.5 / 222","0.4 / 259","0.6 / 93","1.3 / 173","0.2 / 0","0.0 / 0","0.3 / 103","0.3 / 95","0.4 / 331","0.7 / 41","2.2 / 250","1.6 / 333","2.4 / 293","2.0 / 261","2.1 / 72","0.4 / 75","1.4 / 59","0.2 / 0","0.1 / 0","0.2 / 0","0.8 / 216","0.2 / 0","0.4 / 123","0.0 / 0","0.8"
"29","0.4 / 251","0.6 / 324","0.0 / 0","0.1 / 0","0.1 / 0","1.0 / 294","0.3 / 0","0.6 / 83","0.5 / 114","1.1 / 74","0.8 / 360","1.0 / 39","1.3 / 3","1.6 / 358","0.5 / 68","2.5 / 54","3.6 / 255","2.3 / 247","2.8 / 246","1.7 / 262","1.3 / 238","0.3 / 165","1.2 / 221","0.2 / 0","1.1"
