"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1.0 / 136","1.8 / 130","1.1 / 93","1.1 / 40","0.9 / 97","4.1 / 157","1.8 / 147","8.2 / 153","6.5 / 157","3.1 / 138","5.8 / 153","4.6 / 158","1.4 / 306","1.8 / 325","2.2 / 310","1.9 / 323","1.3 / 322","1.2 / 312","1.0 / 323","1.0 / 329","0.6 / 314","1.5 / 315","1.6 / 314","2.6 / 303","2.4"
"02","1.6 / 305","0.1 / 0","2.1 / 169","2.5 / 150","2.3 / 156","3.5 / 143","2.3 / 150","0.6 / 97","0.7 / 147","1.8 / 313","1.8 / 315","1.4 / 334","1.8 / 307","1.6 / 318","1.6 / 320","2.9 / 23","1.0 / 15","2.2 / 16","0.7 / 359","1.4 / 28","3.0 / 23","2.5 / 33","3.7 / 25","4.6 / 22","2.0"
"03","4.0 / 23","3.6 / 23","3.0 / 33","3.1 / 30","4.0 / 28","2.8 / 33","3.5 / 23","3.2 / 33","0.7 / 90","1.0 / 34","1.9 / 30","1.3 / 41","3.0 / 23","2.7 / 19","3.7 / 21","3.1 / 22","3.4 / 22","3.1 / 27","1.7 / 31","1.1 / 62","1.4 / 70","1.4 / 63","2.1 / 31","2.7 / 30","2.6"
"04","1.7 / 39","1.6 / 41","2.3 / 54","1.7 / 43","2.0 / 51","1.8 / 346","0.6 / 169","2.1 / 32","1.2 / 55","1.1 / 5","0.6 / 24","0.4 / 284","0.9 / 274","1.1 / 33","0.6 / 25","1.1 / 343","1.4 / 317","0.5 / 309","0.8 / 139","0.5 / 65","0.5 / 120","1.0 / 18","0.5 / 302","0.9 / 20","1.1"
"05","0.4 / 1","0.5 / 31","0.6 / 31","0.9 / 149","1.2 / 66","1.8 / 132","3.5 / 144","5.2 / 148","3.1 / 146","4.2 / 155","4.7 / 159","5.2 / 159","4.1 / 151","3.4 / 146","3.1 / 144","0.6 / 172","2.2 / 155","0.6 / 109","0.9 / 104","2.6 / 139","1.2 / 124","0.3 / 36","0.9 / 112","1.0 / 134","2.2"
"06","1.4 / 140","0.8 / 165","2.2 / 15","3.4 / 16","2.1 / 15","3.7 / 15","3.6 / 17","4.3 / 14","4.1 / 17","4.2 / 21","4.8 / 17","4.6 / 19","4.6 / 18","5.4 / 18","5.1 / 20","5.0 / 18","5.2 / 25","2.7 / 12","2.4 / 22","2.8 / 25","3.6 / 25","1.6 / 35","2.3 / 56","2.1 / 38","3.4"
"07","2.5 / 48","1.9 / 35","1.2 / 89","1.5 / 55","1.9 / 60","3.0 / 37","2.6 / 38","2.6 / 31","2.7 / 40","2.9 / 25","3.8 / 35","2.9 / 36","3.7 / 28","3.6 / 30","4.2 / 27","2.9 / 43","2.9 / 38","2.8 / 38","3.0 / 32","2.9 / 43","2.1 / 54","1.9 / 13","1.3 / 360","2.2 / 49","2.6"
"08","1.9 / 63","1.4 / 64","2.8 / 317","0.9 / 301","1.9 / 318","1.6 / 39","1.5 / 356","1.6 / 330","2.3 / 360","3.9 / 18","3.1 / 20","3.7 / 32","3.7 / 31","3.0 / 25","4.6 / 22","2.7 / 29","2.6 / 20","2.2 / 22","1.4 / 72","1.2 / 27","2.3 / 36","1.1 / 69","1.8 / 39","1.5 / 31","2.3"
"09","2.1 / 21","2.1 / 18","2.7 / 21","4.4 / 27","4.1 / 21","4.1 / 16","3.8 / 24","2.2 / 25","3.2 / 29","3.8 / 24","3.0 / 34","4.3 / 21","4.4 / 21","3.7 / 22","2.6 / 19","3.0 / 20","2.8 / 21","3.2 / 19","2.6 / 25","3.2 / 17","3.4 / 23","2.1 / 23","2.2 / 11","2.0 / 31","3.1"
"10","2.3 / 20","2.0 / 31","2.7 / 26","2.7 / 29","1.4 / 43","0.8 / 63","1.0 / 102","0.9 / 359","1.1 / 99","1.0 / 111","1.3 / 73","1.8 / 40","1.8 / 56","1.8 / 140","1.2 / 63","1.1 / 46","2.0 / 32","2.6 / 22","1.9 / 35","0.9 / 43","0.5 / 96","0.6 / 112","0.2 / 0","0.6 / 134","1.4"
"11","1.0 / 116","1.2 / 51","1.2 / 58","0.5 / 19","1.6 / 35","0.8 / 81","0.7 / 81","0.5 / 116","1.7 / 75","2.1 / 39","3.5 / 14","2.9 / 26","3.5 / 16","4.3 / 15","3.0 / 21","2.6 / 23","2.1 / 13","0.9 / 1","0.6 / 82","1.0 / 86","0.8 / 70","0.9 / 97","0.8 / 70","0.5 / 66","1.6"
"12","0.9 / 56","0.6 / 64","2.0 / 35","1.9 / 28","1.5 / 25","2.1 / 25","2.1 / 14","2.1 / 27","3.2 / 4","3.6 / 16","3.3 / 13","3.6 / 15","2.9 / 9","3.3 / 20","3.5 / 32","3.2 / 29","3.6 / 22","2.3 / 9","0.7 / 298","0.3 / 34","0.3 / 142","0.4 / 124","0.4 / 60","1.0 / 53","2.0"
"13","0.5 / 67","0.2 / 0","0.5 / 117","0.7 / 132","0.6 / 116","0.5 / 116","0.2 / 0","0.9 / 117","2.3 / 32","1.6 / 39","2.7 / 39","3.4 / 36","2.1 / 33","3.4 / 28","4.1 / 17","2.4 / 37","1.8 / 35","1.1 / 56","0.4 / 78","1.2 / 334","0.8 / 75","2.0 / 136","1.1 / 48","1.2 / 125","1.5"
"14","3.4 / 146","3.7 / 141","4.3 / 149","1.1 / 85","1.8 / 139","1.0 / 111","1.5 / 131","0.8 / 131","1.8 / 110","1.8 / 112","3.6 / 139","2.0 / 63","2.1 / 88","2.2 / 75","1.3 / 67","2.0 / 45","1.3 / 360","1.4 / 100","2.3 / 127","3.7 / 136","1.9 / 126","3.0 / 134","4.1 / 142","3.8 / 138","2.3"
"15","2.5 / 144","1.0 / 117","1.1 / 118","1.3 / 111","0.9 / 50","0.8 / 70","0.8 / 105","0.7 / 141","1.7 / 165","2.7 / 146","2.7 / 124","1.6 / 93","1.9 / 80","2.3 / 135","1.3 / 86","1.3 / 92","1.5 / 357","2.5 / 139","2.1 / 145","3.2 / 142","1.7 / 122","1.2 / 89","0.7 / 42","2.2 / 135","1.7"
"16","1.3 / 136","1.0 / 126","0.4 / 92","0.1 / 0","0.7 / 46","0.9 / 59","0.7 / 55","1.0 / 61","1.5 / 113","3.6 / 146","3.3 / 136","3.4 / 151","3.3 / 148","3.2 / 154","1.8 / 220","1.8 / 266","0.7 / 274","1.4 / 324","0.5 / 259","2.2 / 161","2.1 / 155","2.4 / 157","2.8 / 149","2.5 / 152","1.8"
"17","2.2 / 156","2.6 / 160","2.4 / 150","2.6 / 164","1.9 / 142","1.8 / 140","0.6 / 293","1.1 / 307","1.1 / 305","1.9 / 305","1.7 / 307","2.3 / 308","1.6 / 310","2.8 / 312","2.4 / 305","2.6 / 305","2.2 / 309","1.2 / 310","0.7 / 307","0.1 / 0","0.8 / 136","0.6 / 91","1.8 / 143","1.6 / 139","1.7"
"18","0.4 / 124","0.5 / 250","0.4 / 88","2.7 / 147","3.0 / 144","1.6 / 139","3.2 / 147","2.8 / 158","0.9 / 302","0.5 / 318","1.1 / 309","2.0 / 306","1.8 / 320","2.6 / 314","3.2 / 307","1.5 / 302","1.0 / 313","1.1 / 329","0.2 / 0","2.3 / 156","2.4 / 143","2.6 / 142","2.8 / 145","1.7 / 147","1.8"
"19","3.0 / 145","1.0 / 114","1.2 / 21","1.3 / 304","0.7 / 298","2.8 / 27","3.0 / 25","3.4 / 21","2.2 / 24","3.8 / 21","4.1 / 19","4.0 / 5","3.8 / 17","3.8 / 21","3.4 / 21","2.1 / 26","2.0 / 14","2.8 / 8","2.1 / 24","3.1 / 22","2.1 / 20","1.3 / 27","1.4 / 31","0.0 / 0","2.4"
"20","0.1 / 0","0.5 / 9","1.5 / 22","2.1 / 23","2.0 / 34","1.3 / 25","0.2 / 0","0.8 / 275","0.8 / 341","2.1 / 355","1.2 / 173","5.0 / 165","6.4 / 159","7.2 / 157","4.8 / 151","3.1 / 1","4.4 / 21","2.1 / 17","1.4 / 335","0.7 / 246","0.6 / 304","0.2 / 0","2.3 / 15","3.6 / 26","2.3"
"21","3.8 / 21","4.2 / 21","3.4 / 23","2.9 / 33","1.7 / 29","1.2 / 25","1.7 / 15","0.5 / 254","0.4 / 16","2.5 / 15","2.3 / 20","2.7 / 16","2.7 / 15","4.2 / 23","3.4 / 18","3.5 / 24","2.9 / 22","2.6 / 18","2.3 / 17","2.2 / 15","1.9 / 27","1.7 / 24","0.2 / 0","0.6 / 59","2.3"
"22","0.7 / 319","2.3 / 3","2.4 / 14","1.8 / 4","1.8 / 17","0.6 / 12","0.6 / 55","0.5 / 43","0.9 / 38","0.9 / 320","0.6 / 48","3.0 / 1","2.7 / 8","2.2 / 345","1.9 / 335","2.4 / 12","2.8 / 14","1.7 / 1","1.1 / 5","0.1 / 0","1.2 / 302","0.7 / 19","1.0 / 164","3.9 / 164","1.6"
"23","1.0 / 1","0.3 / 180","0.1 / 0","0.4 / 60","0.4 / 96","0.8 / 148","0.5 / 15","0.2 / 0","0.1 / 0","0.4 / 222","2.6 / 3","1.6 / 348","3.0 / 359","3.2 / 2","3.6 / 8","3.5 / 23","2.2 / 11","1.9 / 357","1.7 / 12","0.6 / 7","0.2 / 0","0.1 / 0","0.2 / 0","0.7 / 331","1.2"
"24","1.1 / 303","1.9 / 13","1.8 / 16","0.6 / 55","0.1 / 0","0.8 / 353","0.2 / 0","1.1 / 356","1.0 / 276","1.7 / 341","1.9 / 346","1.6 / 344","2.5 / 352","2.8 / 360","2.7 / 348","0.7 / 285","0.9 / 312","0.5 / 236","1.3 / 315","0.3 / 232","1.9 / 151","0.7 / 248","0.1 / 0","0.7 / 85","1.2"
"25","0.3 / 77","0.6 / 12","0.3 / 320","0.2 / 0","2.3 / 26","2.1 / 11","0.8 / 17","2.3 / 7","3.1 / 9","3.3 / 356","1.9 / 342","2.2 / 301","1.8 / 316","2.7 / 324","2.5 / 351","0.9 / 280","4.9 / 166","3.4 / 156","3.4 / 155","2.9 / 159","0.8 / 128","0.5 / 135","0.3 / 122","0.4 / 86","1.8"
