"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1.3 / 67","0.7 / 85","1.9 / 73","2.0 / 75","1.6 / 75","0.8 / 97","0.6 / 49","1.2 / 88","2.0 / 121","2.6 / 74","2.8 / 61","2.5 / 49","2.4 / 55","2.3 / 58","2.9 / 68","2.0 / 49","1.7 / 75","1.4 / 138","2.5 / 69","2.6 / 105","1.8 / 50","1.3 / 71","0.8 / 20","0.1 / 0","1.7"
"02","1.1 / 52","0.7 / 172","0.5 / 322","1.0 / 83","0.4 / 29","1.6 / 56","0.1 / 0","0.8 / 60","1.1 / 36","0.8 / 49","2.1 / 86","1.4 / 88","1.9 / 87","2.1 / 68","1.7 / 80","1.8 / 75","2.1 / 69","2.0 / 58","1.2 / 93","1.8 / 70","3.1 / 78","3.1 / 81","2.0 / 99","2.0 / 109","1.5"
"03","2.1 / 104","2.8 / 123","2.4 / 111","2.2 / 104","2.4 / 117","2.2 / 113","3.2 / 113","2.8 / 102","3.8 / 95","3.5 / 105","4.4 / 116","3.8 / 81","4.4 / 93","4.4 / 93","4.6 / 83","4.4 / 92","4.3 / 88","4.3 / 77","3.7 / 62","3.2 / 64","4.1 / 63","2.5 / 68","1.1 / 89","0.9 / 100","3.2"
"04","2.0 / 109","1.3 / 92","1.3 / 128","0.5 / 352","1.2 / 312","0.2 / 0","0.9 / 299","0.2 / 0","1.3 / 104","1.2 / 50","0.9 / 102","1.6 / 27","1.4 / 7","2.5 / 17","1.7 / 339","1.3 / 335","1.0 / 337","0.5 / 203","0.2 / 0","0.2 / 0","0.4 / 108","1.6 / 147","2.7 / 146","1.5 / 140","1.2"
"05","2.2 / 150","1.2 / 177","0.5 / 218","1.0 / 260","0.1 / 0","0.4 / 333","1.3 / 114","0.7 / 227","1.3 / 123","0.4 / 186","1.0 / 21","1.6 / 341","1.9 / 273","1.3 / 312","1.5 / 268","1.2 / 261","0.4 / 161","0.2 / 0","0.9 / 334","0.4 / 235","0.8 / 292","0.3 / 18","1.3 / 307","0.4 / 345","0.9"
"06","0.9 / 301","0.6 / 307","0.4 / 298","0.2 / 0","1.1 / 175","0.4 / 291","0.4 / 360","0.3 / 68","0.3 / 146","0.3 / 139","0.6 / 217","2.3 / 272","1.7 / 281","0.6 / 280","1.3 / 274","1.0 / 261","0.1 / 0","1.3 / 257","0.9 / 200","0.3 / 335","1.9 / 60","0.1 / 0","0.2 / 0","1.3 / 283","0.8"
"07","1.3 / 260","0.8 / 256","1.4 / 281","0.3 / 358","1.4 / 68","2.4 / 81","1.5 / 91","2.4 / 98","1.9 / 74","2.1 / 89","2.4 / 64","2.1 / 77","2.9 / 78","3.3 / 78","1.3 / 95","3.1 / 67","2.4 / 76","1.7 / 93","2.5 / 58","2.4 / 78","3.3 / 74","2.6 / 103","2.2 / 79","3.6 / 68","2.1"
"08","2.7 / 87","2.0 / 92","2.7 / 75","2.4 / 74","1.9 / 126","2.1 / 87","3.3 / 53","2.9 / 99","1.5 / 88","2.7 / 97","2.7 / 61","2.8 / 35","3.8 / 34","3.2 / 43","4.2 / 69","3.2 / 60","1.7 / 44","2.4 / 78","1.4 / 126","1.8 / 134","2.9 / 117","2.7 / 122","2.9 / 111","2.7 / 81","2.6"
"09","2.3 / 113","2.8 / 110","2.6 / 97","3.1 / 121","2.8 / 103","2.3 / 108","3.8 / 94","3.3 / 95","3.1 / 102","4.3 / 85","3.7 / 100","4.3 / 88","3.0 / 98","3.7 / 90","2.9 / 127","2.5 / 104","2.1 / 101","2.2 / 116","1.4 / 135","2.0 / 146","2.5 / 120","2.7 / 133","2.6 / 134","2.9 / 191","2.9"
"10","1.3 / 268","0.3 / 333","0.3 / 64","0.9 / 220","1.4 / 316","0.8 / 160","0.4 / 210","1.9 / 147","1.4 / 123","1.4 / 287","1.3 / 20","1.5 / 6","2.3 / 310","2.2 / 33","1.8 / 305","2.2 / 311","0.5 / 134","0.8 / 149","0.3 / 255","0.7 / 13","0.4 / 15","0.7 / 360","2.0 / 127","0.8 / 45","1.2"
"11","0.9 / 339","0.4 / 322","0.2 / 0","0.3 / 290","0.1 / 0","0.1 / 0","0.5 / 176","0.7 / 139","1.4 / 94","0.8 / 338","1.7 / 88","3.8 / 58","3.4 / 60","2.0 / 71","1.7 / 98","1.9 / 51","2.0 / 69","2.9 / 62","1.1 / 83","1.7 / 57","2.0 / 97","1.0 / 101","2.2 / 53","1.4 / 54","1.4"
"12","2.1 / 70","2.2 / 115","2.2 / 86","2.4 / 122","2.1 / 130","2.7 / 133","2.1 / 132","2.6 / 84","3.3 / 75","2.8 / 87","3.4 / 76","3.9 / 53","4.7 / 62","4.4 / 55","4.3 / 57","2.8 / 92","2.4 / 91","3.1 / 76","3.0 / 63","4.0 / 60","1.8 / 72","0.5 / 130","1.9 / 112","1.4 / 104","2.8"
"13","1.2 / 95","1.1 / 93","1.8 / 104","1.4 / 284","0.2 / 0","1.1 / 313","1.7 / 138","1.3 / 151","3.6 / 148","0.8 / 89","0.7 / 34","1.5 / 272","2.2 / 342","1.8 / 284","2.5 / 275","1.7 / 357","1.3 / 336","0.4 / 314","0.8 / 174","1.5 / 128","2.5 / 127","2.6 / 146","2.9 / 137","0.7 / 236","1.6"
"14","0.4 / 285","0.6 / 226","0.3 / 245","0.8 / 210","0.2 / 0","0.4 / 326","1.3 / 309","0.4 / 290","0.9 / 89","1.0 / 102","1.5 / 58","0.8 / 269","1.2 / 336","2.9 / 349","2.1 / 303","1.1 / 33","0.2 / 0","0.6 / 204","0.4 / 48","0.6 / 31","0.3 / 301","0.2 / 0","0.3 / 308","0.4 / 292","0.8"
"15","0.3 / 350","0.4 / 304","0.3 / 333","0.3 / 297","0.5 / 5","0.8 / 321","1.4 / 304","0.7 / 112","1.9 / 133","1.6 / 116","1.6 / 35","1.6 / 337","0.7 / 327","1.4 / 287","1.3 / 348","1.5 / 302","1.4 / 277","0.4 / 270","0.1 / 0","0.1 / 0","0.9 / 119","1.2 / 124","1.7 / 131","1.6 / 307","1.0"
"16","1.2 / 240","3.3 / 269","1.5 / 295","0.9 / 198","0.5 / 224","0.2 / 0","0.2 / 0","0.5 / 105","2.1 / 257","1.0 / 301","1.6 / 325","2.3 / 328","2.7 / 252","2.4 / 293","1.7 / 323","3.3 / 79","2.2 / 70","2.5 / 83","2.0 / 80","2.5 / 65","3.0 / 63","3.0 / 67","1.9 / 56","1.8 / 61","1.8"
"17","1.5 / 64","1.5 / 75","1.1 / 81","2.5 / 92","2.0 / 94","2.7 / 59","1.8 / 60","1.4 / 58","1.1 / 49","2.1 / 64","2.4 / 52","3.0 / 61","2.3 / 72","3.5 / 63","2.6 / 69","3.0 / 56","2.7 / 52","1.8 / 51","2.6 / 67","2.3 / 75","2.6 / 67","2.0 / 76","3.0 / 67","2.7 / 70","2.3"
"18","1.1 / 34","0.9 / 84","2.0 / 88","1.5 / 107","1.8 / 91","3.2 / 65","2.5 / 99","1.9 / 95","2.7 / 91","2.4 / 98","3.6 / 71","2.1 / 98","2.5 / 107","2.1 / 97","1.9 / 85","2.2 / 89","2.3 / 126","1.8 / 120","2.3 / 109","2.8 / 92","3.1 / 108","4.0 / 115","3.9 / 89","3.3 / 101","2.4"
"19","2.9 / 94","4.0 / 75","4.2 / 84","3.1 / 79","3.6 / 69","2.6 / 75","2.5 / 70","1.7 / 68","0.8 / 127","1.2 / 77","2.9 / 61","3.1 / 57","3.4 / 56","3.5 / 102","4.1 / 104","2.6 / 109","1.8 / 110","1.1 / 153","1.0 / 93","1.3 / 118","0.6 / 110","0.9 / 188","0.5 / 150","0.3 / 265","2.2"
"20","1.1 / 202","0.4 / 261","0.9 / 342","0.2 / 0","0.6 / 302","0.2 / 0","0.6 / 208","0.2 / 0","1.3 / 268","1.3 / 247","0.6 / 279","0.9 / 23","0.8 / 91","0.4 / 150","1.7 / 51","1.8 / 59","1.9 / 57","1.1 / 70","0.7 / 71","0.8 / 103","1.0 / 108","0.9 / 96","1.2 / 97","1.2 / 97","0.9"
"21","1.2 / 96","1.0 / 85","0.5 / 270","0.3 / 0","0.4 / 225","0.3 / 0","0.5 / 328","0.3 / 336","0.4 / 328","1.1 / 26","0.8 / 44","1.1 / 5","1.2 / 338","1.3 / 47","2.7 / 298","1.9 / 302","0.8 / 332","0.3 / 337","0.5 / 305","0.6 / 190","0.9 / 214","0.3 / 161","0.3 / 208","0.3 / 305","0.8"
