"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","0.8 / 103","0.2 / 0","1.7 / 127","0.1 / 0","0.7 / 199","0.4 / 98","1.9 / 116","1.7 / 108","2.7 / 147","3.1 / 119","2.4 / 159","2.0 / 104","3.1 / 100","2.0 / 107","2.8 / 117","1.7 / 227","0.8 / 341","1.2 / 266","0.4 / 292","0.3 / 0","0.8 / 277","0.0 / 0","0.0 / 0","1.5 / 277","1.3"
"02","1.1 / 278","0.8 / 244","0.5 / 182","1.1 / 138","0.9 / 101","0.6 / 83","0.1 / 0","0.7 / 295","0.4 / 178","0.8 / 66","2.0 / 307","1.7 / 14","1.6 / 25","1.5 / 27","1.4 / 237","2.4 / 301","1.6 / 331","1.2 / 301","0.8 / 192","0.4 / 92","1.4 / 65","2.8 / 58","0.8 / 40","2.6 / 77","1.2"
"03","2.6 / 61","3.4 / 74","3.5 / 86","3.3 / 84","4.0 / 87","2.7 / 88","3.1 / 96","3.0 / 98","0.5 / 97","1.2 / 121","1.2 / 120","1.4 / 81","1.8 / 61","2.7 / 62","2.3 / 83","2.2 / 54","2.3 / 58","2.4 / 65","1.2 / 96","0.9 / 89","1.9 / 102","1.4 / 84","3.2 / 101","3.0 / 104","2.3"
"04","2.5 / 113","2.2 / 121","2.8 / 119","2.9 / 102","3.3 / 97","3.0 / 94","3.0 / 86","3.5 / 97","1.8 / 103","1.1 / 74","2.0 / 61","2.6 / 100","1.6 / 47","0.8 / 57","0.1 / 0","1.2 / 82","1.4 / 76","2.0 / 91","2.4 / 74","1.0 / 128","1.7 / 133","2.3 / 139","0.7 / 109","1.0 / 123","2.0"
"05","1.0 / 132","1.2 / 111","0.4 / 91","0.1 / 0","1.1 / 120","0.4 / 238","0.5 / V","0.4 / 153","1.0 / 121","1.3 / 147","1.5 / 137","2.5 / 72","2.5 / 87","2.4 / 65","1.2 / 42","1.4 / 56","0.9 / 54","0.2 / 0","1.0 / 99","1.9 / 123","0.1 / 0","0.0 / 0","0.8 / 212","0.2 / 0","1.0"
"06","0.0 / 0","0.1 / 0","0.0 / 0","0.0 / 0","1.2 / 281","0.8 / 122","0.5 / 31","2.1 / 62","2.9 / 74","3.3 / 83","4.1 / 78","3.8 / 75","2.7 / 77","2.7 / 81","3.3 / 80","2.2 / 82","2.3 / 88","1.2 / 91","1.8 / 103","2.3 / 88","3.2 / 70","2.5 / 88","2.4 / 114","2.5 / 121","2.0"
"07","3.4 / 106","2.7 / 114","3.0 / 103","3.2 / 99","3.1 / 112","3.7 / 125","2.7 / 128","2.8 / 127","2.9 / 109","3.1 / 113","3.1 / 106","2.9 / 111","2.9 / 107","3.5 / 107","3.0 / 107","3.5 / 102","3.3 / 112","4.0 / 104","3.3 / 110","3.4 / 118","3.3 / 102","3.4 / 111","3.1 / 98","2.4 / 111","3.2"
"08","2.9 / 94","2.3 / 111","2.6 / 95","2.2 / 111","3.0 / 80","2.8 / 97","2.3 / 118","2.5 / 102","3.0 / 106","2.1 / 66","4.7 / 57","4.7 / 59","5.2 / 56","3.2 / 69","4.0 / 56","2.5 / 62","2.4 / 64","2.6 / 59","2.8 / 68","2.5 / 82","2.1 / 74","1.7 / 83","2.4 / 86","2.1 / 68","2.9"
"09","1.6 / 59","0.3 / 104","1.0 / 66","2.5 / 43","1.8 / 55","1.2 / 78","2.0 / 75","2.9 / 62","1.6 / 72","1.5 / 101","1.8 / 84","2.3 / 72","2.6 / 66","3.2 / 65","1.2 / 107","1.7 / 95","2.5 / 71","1.6 / 90","2.1 / 91","1.9 / 99","2.9 / 100","2.3 / 90","2.0 / 100","2.0 / 96","1.9"
"10","1.7 / 98","2.6 / 113","2.0 / 122","2.3 / 130","2.8 / 117","2.0 / 99","2.1 / 123","2.1 / 127","2.0 / 127","1.4 / 126","0.7 / 114","1.2 / 55","0.2 / 0","1.2 / 69","1.7 / 45","2.1 / 112","1.9 / 124","1.7 / 130","2.1 / 139","1.9 / 150","2.1 / 141","2.3 / 143","2.5 / 140","2.3 / 152","1.9"
"11","2.5 / 144","2.1 / 144","2.1 / 144","1.5 / 146","1.4 / 146","1.8 / 157","2.2 / 145","1.8 / 141","2.6 / 84","2.7 / 54","2.2 / 87","2.8 / 43","3.0 / 33","4.0 / 58","4.2 / 55","4.2 / 51","4.4 / 56","2.1 / 80","2.7 / 92","2.3 / 143","2.3 / 135","2.9 / 149","2.7 / 140","2.7 / 144","2.6"
"12","2.1 / 138","1.1 / 144","0.5 / 83","0.5 / 94","0.9 / 128","0.7 / 93","0.7 / 108","1.6 / 71","2.2 / 74","3.0 / 27","3.3 / 38","3.0 / 74","2.7 / 77","3.3 / 59","2.7 / 45","3.2 / 61","3.3 / 58","3.4 / 63","2.2 / 66","1.8 / 147","2.7 / 149","2.7 / 154","2.5 / 150","2.3 / 155","2.2"
"13","2.3 / 149","1.3 / 140","1.1 / 303","0.2 / 0","0.8 / 110","2.9 / 157","1.9 / 151","2.0 / 145","2.3 / 88","4.0 / 82","5.2 / 64","4.4 / 57","4.8 / 67","5.2 / 52","4.5 / 57","5.3 / 58","4.6 / 67","3.7 / 85","3.1 / 112","2.6 / 99","2.3 / 101","2.4 / 109","2.6 / 91","2.5 / 92","3.0"
