"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","0.5 / 245","0.8 / 328","1.0 / 98","0.7 / 57","1.3 / 68","1.4 / 39","1.0 / 38","0.3 / 60","0.9 / 152","0.6 / 28","1.7 / 44","2.3 / 75","1.6 / 66","1.5 / 68","1.7 / 99","1.5 / 105","1.6 / 111","1.6 / 114","1.4 / 125","1.0 / 119","0.8 / 209","0.8 / 85","1.1 / 132","0.9 / 134","1.2"
"02","1.5 / 153","1.5 / 126","0.9 / 94","0.8 / 176","1.0 / 261","1.5 / 245","0.9 / 264","0.8 / 241","1.6 / 232","0.9 / 360","1.8 / 122","1.1 / 159","1.3 / 109","1.2 / 111","3.2 / 59","0.6 / 100","1.5 / 165","1.5 / 148","1.4 / 134","1.7 / 146","1.7 / 153","2.0 / 160","1.8 / 145","2.5 / 149","1.4"
"03","1.9 / 132","2.0 / 126","2.6 / 141","2.6 / 137","2.2 / 137","2.8 / 146","2.5 / 160","2.6 / 155","2.4 / 106","4.0 / 79","2.2 / 90","3.3 / 86","4.1 / 106","3.7 / 87","4.7 / 76","3.0 / 115","2.4 / 98","3.1 / 109","2.6 / 101","2.5 / 87","2.2 / 90","1.9 / 108","1.9 / 91","1.2 / 111","2.7"
"04","1.5 / 105","1.9 / 121","1.3 / 131","0.5 / 30","0.4 / 126","0.4 / 134","1.0 / 69","1.0 / 102","0.7 / 50","1.4 / 124","1.6 / 190","1.0 / 95","1.5 / 340","1.5 / 89","2.4 / 101","2.9 / 133","2.0 / 148","2.1 / 145","1.9 / 133","0.4 / 236","0.2 / 0","0.1 / 0","0.1 / 0","0.3 / 0","1.2"
"05","0.4 / 58","0.4 / 45","0.3 / 55","0.2 / 0","0.3 / 0","1.0 / 323","1.2 / 327","0.4 / 37","0.3 / 241","0.9 / 307","2.3 / 266","1.8 / 306","2.1 / 329","1.5 / 319","1.0 / 315","1.6 / 292","1.7 / 63","2.9 / 61","1.5 / 47","2.7 / 41","2.2 / 54","2.1 / 42","1.5 / 59","1.7 / 71","1.3"
"06","1.3 / 39","1.9 / 69","2.3 / 56","2.1 / 82","2.0 / 86","1.0 / 125","1.0 / 107","1.5 / 95","1.5 / 134","0.4 / 138","0.8 / 182","0.7 / 256","1.5 / 261","1.6 / 261","1.5 / 244","1.7 / 246","1.7 / 251","1.9 / 270","2.3 / 258","2.3 / 250","2.2 / 249","2.6 / 256","2.7 / 276","2.9 / 267","1.7"
"07","2.4 / 259","2.7 / 270","2.0 / 257","1.2 / 193","0.8 / 213","0.8 / 130","1.3 / 162","2.0 / 153","1.5 / 126","0.7 / 77","2.3 / 74","2.6 / 80","2.5 / 80","2.9 / 99","1.6 / 133","2.0 / 133","2.2 / 123","1.8 / 117","2.4 / 120","2.3 / 121","2.5 / 126","2.6 / 126","2.8 / 137","3.4 / 148","2.1"
"08","2.4 / 153","3.0 / 141","2.6 / 146","2.6 / 154","2.2 / 141","1.9 / 141","2.2 / 155","2.1 / 169","1.8 / 124","1.4 / 154","0.9 / 127","1.5 / 117","3.0 / 61","2.8 / 70","2.9 / 47","1.9 / 44","2.1 / 47","0.6 / 150","1.2 / 135","1.4 / 132","2.6 / 146","2.9 / 158","2.9 / 147","2.5 / 144","2.1"
"09","2.8 / 158","3.0 / 156","2.9 / 142","2.9 / 148","3.0 / 160","3.1 / 150","3.3 / 144","3.0 / 152","3.0 / 149","1.7 / 140","2.3 / 97","3.2 / 57","3.3 / 43","3.6 / 48","2.7 / 83","3.4 / 63","2.8 / 63","0.7 / 137","1.6 / 148","2.2 / 133","3.1 / 147","3.4 / 134","3.0 / 139","3.0 / 154","2.8"
"10","2.4 / 129","0.6 / 257","0.4 / 91","0.6 / 305","0.8 / 282","1.6 / 132","2.7 / 124","2.8 / 136","2.7 / 145","3.2 / 111","3.9 / 88","4.5 / 62","4.4 / 63","3.9 / 47","3.2 / 45","2.4 / 57","1.6 / 78","1.3 / 97","1.1 / 130","2.0 / 145","1.9 / 160","1.7 / 145","1.6 / 149","1.7 / 135","2.2"
