"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","0.7 / 106","0.9 / 82","2.6 / 78","1.6 / 111","1.6 / 126","1.5 / 124","1.9 / 124","1.4 / 96","3.3 / 73","5.2 / 59","3.8 / 64","3.7 / 69","3.2 / 63","4.3 / 74","3.7 / 80","2.7 / 76","3.8 / 79","2.9 / 93","1.5 / 128","2.3 / 139","2.2 / 118","2.7 / 131","3.9 / 156","4.0 / 158","2.7"
"02","3.1 / 151","3.0 / 153","3.6 / 156","2.2 / 155","3.2 / 157","2.3 / 143","1.3 / 139","2.1 / 156","0.9 / 163","0.8 / 307","1.5 / 40","2.0 / 277","2.5 / 293","2.6 / 290","2.0 / 298","0.5 / 266","0.8 / 170","1.6 / 153","1.8 / 137","0.9 / 121","0.9 / 170","0.9 / 144","0.3 / 212","0.0 / 0","1.7"
"03","0.2 / 0","0.1 / 0","0.3 / 112","0.3 / 104","0.2 / 0","0.6 / 3","0.3 / 100","0.9 / 121","0.2 / 0","0.7 / 84","0.8 / 360","1.5 / 325","2.7 / 293","3.2 / 284","2.8 / 277","3.4 / 273","3.2 / 292","1.2 / 279","2.5 / 302","2.5 / 288","1.9 / 301","0.8 / 8","4.2 / 64","3.8 / 56","1.6"
"04","1.6 / 56","1.2 / 105","0.7 / 70","2.6 / 157","2.0 / 146","2.7 / 68","3.1 / 56","1.9 / 130","2.9 / 156","1.6 / 115","2.5 / 98","3.1 / 111","3.1 / 84","3.9 / 79","2.4 / 93","2.4 / 104","3.1 / 130","4.2 / 141","3.1 / 132","2.8 / 129","2.6 / 118","1.9 / 115","2.9 / 78","3.2 / 85","2.6"
"05","1.7 / 84","2.0 / 114","3.0 / 119","1.9 / 127","2.7 / 125","0.2 / 0","0.5 / 121","0.5 / 70","0.8 / 112","1.1 / 127","0.8 / 124","0.4 / 340","0.3 / 157","0.5 / 93","0.8 / 116","1.0 / 90","0.1 / 0","0.2 / 0","0.8 / 122","0.5 / 338","0.6 / 147","0.2 / 0","0.0 / 0","0.5 / 187","0.9"
"06","0.7 / 163","0.5 / 256","0.7 / 186","0.1 / 0","0.0 / 0","0.4 / 52","0.1 / 0","1.0 / 87","0.9 / 49","1.7 / 266","1.6 / 295","1.2 / 20","2.8 / 60","2.6 / 52","2.3 / 45","3.2 / 61","3.7 / 62","1.9 / 57","1.7 / 56","0.1 / 0","0.2 / 0","0.1 / 0","0.2 / 0","0.2 / 0","1.2"
"07","0.1 / 0","0.6 / 234","0.4 / 244","0.8 / 292","0.5 / 220","0.9 / 308","0.2 / 0","0.5 / V","1.0 / 63","1.2 / 328","1.0 / 318","1.6 / 269","2.0 / 290","1.9 / 323","0.8 / 36","0.2 / 0","0.7 / 255","0.5 / 143","0.5 / 37","0.3 / 17","1.6 / 137","1.3 / 126","0.7 / 134","0.2 / 0","0.8"
"08","0.3 / 342","0.6 / 215","0.8 / 304","0.8 / 310","0.0 / 0","0.0 / 0","0.3 / 107","0.3 / 145","1.0 / 191","2.8 / 59","4.0 / 63","3.2 / 66","3.5 / 76","1.6 / 79","2.3 / 60","1.0 / 81","3.4 / 71","2.4 / 88","1.7 / 69","2.5 / 67","2.9 / 73","1.9 / 73","2.2 / 65","2.1 / 59","1.7"
"09","1.3 / 74","2.2 / 64","1.8 / 67","2.2 / 53","2.7 / 51","1.5 / 72","1.9 / 56","2.3 / 63","1.3 / 50","2.9 / 62","3.3 / 73","3.4 / 56","3.7 / 57","3.1 / 75","3.8 / 81","3.4 / 94","2.2 / 113","2.3 / 105","3.3 / 93","3.7 / 84","2.9 / 87","3.9 / 83","4.0 / 78","1.7 / 68","2.7"
"10","2.8 / 65","1.6 / 116","1.0 / 35","0.2 / 0","0.4 / 203","1.5 / 102","1.2 / 57","0.6 / 320","1.0 / 312","0.7 / 56","0.9 / 342","1.6 / 23","0.6 / V","1.3 / 31","0.7 / 5","1.1 / 15","0.6 / 48","1.0 / 275","0.2 / 0","0.0 / 0","0.3 / 236","0.0 / 0","0.7 / 199","0.2 / 0","0.8"
"11","0.0 / 0","0.0 / 0","0.1 / 0","0.2 / 0","0.6 / 293","1.5 / 247","0.4 / 286","0.1 / 0","0.9 / 252","1.2 / 279","2.3 / 305","1.0 / 334","1.0 / 337","0.5 / 14","1.3 / 160","1.0 / 167","0.6 / 207","0.3 / 113","0.8 / 148","1.1 / 141","0.2 / 0","1.4 / 103","1.1 / 94","1.1 / 209","0.8"
"12","0.4 / 343","0.4 / 227","0.3 / 119","0.1 / 0","0.0 / 0","0.2 / 0","0.2 / 0","0.4 / 114","0.7 / 82","1.5 / 318","1.3 / 360","1.3 / 301","1.3 / 5","1.1 / 336","0.9 / 293","0.8 / 357","2.3 / 25","1.4 / 38","0.8 / 27","1.0 / 82","0.4 / 57","0.3 / 125","0.4 / 87","0.7 / 247","0.8"
"13","0.9 / 138","0.8 / 34","0.1 / 0","0.1 / 0","0.7 / 206","0.2 / 0","0.9 / 133","0.6 / 76","0.9 / 75","0.8 / 193","0.6 / 310","2.4 / 255","2.4 / 257","0.8 / 188","1.2 / 116","0.6 / 114","0.2 / 0","1.4 / 121","1.6 / 54","0.2 / 0","0.5 / 41","1.0 / 320","0.9 / 136","0.8 / 86","0.9"
"14","0.5 / 27","1.1 / 83","1.2 / 75","0.8 / 112","0.5 / 105","0.1 / 0","2.7 / 151","1.0 / 103","0.1 / 0","0.2 / 0","0.4 / 275","0.7 / 94","0.5 / 115","1.2 / 75","0.4 / 79","0.8 / 291","1.7 / 58","0.3 / 131","0.0 / 0","0.5 / 138","0.2 / 0","0.0 / 0","0.3 / 109","0.6 / 97","0.7"
"15","0.8 / 85","0.2 / 0","1.7 / 132","1.0 / 131","1.2 / 132","1.3 / 128","1.5 / 130","0.6 / 135","1.4 / 122","1.3 / 75","1.2 / 96","2.2 / 179","2.7 / 80","2.4 / 87","2.8 / 91","3.6 / 119","3.8 / 88","2.3 / 109","3.2 / 68","3.5 / 73","3.1 / 64","3.6 / 82","4.5 / 74","4.0 / 75","2.2"
"16","4.3 / 73","3.9 / 88","3.4 / 79","4.1 / 86","2.6 / 106","2.4 / 107","2.8 / 102","3.4 / 116","3.7 / 110","5.4 / 117","3.6 / 126","3.8 / 106","4.4 / 118","3.4 / 110","4.4 / 116","3.2 / 116","4.0 / 113","3.8 / 95","3.6 / 93","3.7 / 67","3.4 / 77","2.7 / 66","2.8 / 64","3.6 / 94","3.6"
"17","1.9 / 77","3.6 / 73","2.7 / 72","2.6 / 78","2.7 / 72","2.7 / 72","2.5 / 94","3.6 / 113","4.3 / 113","5.1 / 120","4.4 / 115","4.4 / 114","4.4 / 107","4.1 / 106","4.5 / 83","3.8 / 119","4.6 / 94","4.5 / 86","3.2 / 106","3.9 / 90","3.1 / 97","2.6 / 93","3.2 / 92","2.6 / 99","3.5"
"18","2.2 / 109","1.8 / 115","1.4 / 122","1.4 / 115","2.6 / 146","1.8 / 138","2.4 / 115","2.4 / 117","2.4 / 108","3.7 / 82","2.2 / 95","2.0 / 121","1.6 / 120","2.2 / 119","1.5 / 126","1.6 / 61","2.2 / 68","2.4 / 102","2.1 / 109","1.5 / 116","1.8 / 133","1.6 / 141","2.5 / 150","1.9 / 137","2.1"
"19","2.0 / 126","1.6 / 159","0.7 / 216","1.3 / 266","0.3 / 52","0.1 / 0","0.8 / 152","1.0 / 140","0.7 / 131","2.7 / 291","3.3 / 294","2.9 / 269","2.1 / 289","3.0 / 278","2.8 / 273","2.5 / 285","1.6 / 293","1.5 / 249","0.8 / 286","0.3 / 165","0.6 / 131","0.4 / 156","0.9 / 145","1.4 / 119","1.5"
"20","1.5 / 144","0.2 / 0","0.5 / 327","0.0 / 0","0.0 / 0","0.3 / 356","0.3 / 54","0.3 / 116","0.8 / 135","2.2 / 250","1.3 / 279","1.1 / 264","2.4 / 275","2.3 / 274","2.4 / 78","2.1 / 67","2.1 / 144","1.6 / 128","1.0 / 180","0.3 / 157","1.0 / 127","0.3 / 351","0.1 / 0","0.1 / 0","1.0"
"21","0.3 / 53","0.5 / 342","0.2 / 0","0.0 / 0","0.4 / 145","0.1 / 0","1.7 / 145","0.7 / 186","0.3 / 75","2.7 / 292","3.6 / 240","4.9 / 286","3.0 / 273","1.9 / 322","3.6 / 286","1.8 / 297","2.3 / 147","1.9 / 137","1.6 / 147","1.8 / 159","1.7 / 168","0.4 / 230","0.3 / 156","0.4 / 197","1.5"
"22","1.9 / 158","0.4 / 208","0.6 / 346","0.1 / 0","0.7 / 152","0.4 / 154","0.4 / 41","1.2 / 146","1.3 / 160","1.1 / 125","2.6 / 236","2.0 / 303","3.0 / 293","2.5 / 285","3.9 / 286","3.8 / 285","2.5 / 282","2.1 / 285","1.3 / 262","1.6 / 255","0.3 / 146","1.0 / 129","1.4 / 153","1.4 / 126","1.6"
"23","1.3 / 145","0.6 / 166","0.5 / 7","0.9 / 330","0.4 / 360","0.5 / 85","2.1 / 153","1.2 / 89","0.7 / 107","0.9 / 304","3.1 / 294","1.6 / 272","3.7 / 271","5.0 / 256","4.9 / 259","5.2 / 295","4.6 / 291","3.2 / 270","1.4 / 251","0.6 / 133","0.3 / 55","0.5 / 200","0.2 / 0","0.3 / 107","1.8"
"24","0.6 / 67","0.9 / 131","0.6 / 289","1.0 / 159","0.7 / 217","0.3 / 47","1.2 / 142","0.6 / 94","1.5 / 102","1.9 / 295","1.0 / 142","2.9 / 286","2.6 / 287","3.4 / 296","3.6 / 264","3.4 / 274","2.9 / 282","1.6 / 316","0.8 / 296","0.9 / 183","0.7 / 129","0.7 / 141","2.0 / 151","0.2 / 0","1.5"
"25","0.5 / 301","2.2 / 184","0.2 / 0","0.6 / 139","0.4 / 327","0.3 / 74","0.4 / 41","0.4 / 153","1.2 / 128","5.0 / 275","4.4 / 258","4.7 / 263","3.9 / 289","4.6 / 292","4.4 / 282","4.0 / 296","2.9 / 284","2.5 / 281","1.7 / 263","0.2 / 0","0.1 / 0","0.7 / 77","0.2 / 0","0.0 / 0","1.9"
"26","0.2 / 0","0.2 / 0","0.0 / 0","0.3 / 235","0.2 / 0","1.3 / 166","0.8 / 117","0.9 / 212","3.3 / 250","4.3 / 261","3.5 / 274","2.4 / 271","3.6 / 258","2.1 / 251","3.1 / 256","2.3 / 269","1.3 / 290","3.0 / 284","3.2 / 282","3.0 / 267","0.9 / 116","1.4 / 141","1.5 / 143","1.3 / 106","1.8"
"27","1.4 / 149","0.2 / 0","0.4 / 123","0.4 / 225","0.4 / 7","0.1 / 0","0.9 / 132","1.2 / 140","1.7 / 301","2.5 / 276","3.7 / 255","4.1 / 257","5.4 / 292","3.8 / 256","4.9 / 261","3.5 / 282","2.7 / 282","2.1 / 273","2.1 / 281","1.3 / 228","0.0 / 0","1.1 / 15","2.3 / 274","0.9 / 122","2.0"
"28","1.0 / 246","2.2 / 264","1.1 / 252","1.9 / 276","1.3 / 147","0.6 / 243","0.8 / 142","0.5 / 160","0.7 / 225","0.7 / 249","1.0 / 256","2.8 / 289","3.8 / 273","1.4 / 23","1.8 / 24","1.6 / 317","1.3 / 351","1.5 / 51","1.5 / 61","1.2 / 48","1.5 / 50","1.2 / 101","1.2 / 65","0.7 / 136","1.4"
"29","0.8 / 146","1.0 / 170","0.2 / 0","0.0 / 0","0.1 / 0","1.4 / 267","1.8 / 348","0.5 / 193","0.2 / 0","1.1 / 67","1.6 / 52","1.7 / 100","3.0 / 69","1.8 / 49","2.9 / 80","2.4 / 93","1.7 / 108","1.5 / 93","0.8 / 120","2.2 / 85","1.2 / 127","0.9 / 121","1.2 / 93","2.5 / 71","1.4"
"30","1.7 / 116","1.6 / 151","1.5 / 105","1.0 / 133","1.2 / 117","3.9 / 70","3.3 / 75","3.6 / 108","2.4 / 93","3.3 / 78","3.2 / 82","5.3 / 57","5.0 / 54","4.0 / 45","4.6 / 56","4.2 / 50","2.9 / 49","3.1 / 68","1.8 / 96","2.6 / 93","1.0 / 111","2.1 / 65","0.8 / 122","0.5 / 150","2.7"
"31","1.3 / 148","1.4 / 123","1.9 / 150","1.9 / 160","2.8 / 154","1.7 / 140","1.4 / 142","1.1 / 137","1.6 / 97","2.5 / 57","2.9 / 35","3.6 / 48","3.8 / 63","3.4 / 59","4.3 / 60","3.1 / 57","3.6 / 57","3.3 / 60","2.3 / 88","2.0 / 98","1.3 / 133","1.4 / 142","1.1 / 157","1.8 / 153","2.3"
"平均","1.2","1.2","1.1","1.0","1.1","1.1","1.3","1.2","1.4","2.2","2.3","2.6","2.8","2.6","2.8","2.4","2.4","2.0","1.7","1.6","1.3","1.3","1.5","1.4","平均"
