"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","2.9 / 16","2.6 / 24","2.4 / 16","2.5 / 21","2.7 / 30","0.5 / 76","1.6 / 14","1.2 / 19","1.9 / 58","1.6 / 25","1.5 / 34","2.4 / 28","0.9 / 104","1.6 / 17","2.3 / 30","1.5 / 36","0.1 / 0","1.8 / 311","2.1 / 33","1.8 / 29","0.8 / 60","1.2 / 30","1.5 / 24","1.2 / 5","1.7"
"02","2.8 / 18","2.8 / 19","2.2 / 27","1.1 / 44","0.9 / 31","1.0 / 19","1.0 / 16","1.3 / 30","2.5 / 6","3.9 / 18","3.4 / 12","4.0 / 18","4.0 / 21","3.6 / 22","4.0 / 17","3.2 / 15","3.4 / 21","3.6 / 28","4.1 / 15","4.3 / 28","3.5 / 27","2.5 / 29","2.4 / 46","2.1 / 34","2.8"
"03","1.7 / 62","1.9 / 54","2.2 / 49","2.8 / 36","2.1 / 46","1.3 / 29","1.1 / 319","1.4 / 246","0.9 / 360","1.5 / 239","4.4 / 152","2.2 / 151","5.0 / 155","4.2 / 138","4.9 / 141","4.3 / 146","4.0 / 159","1.9 / 139","0.5 / 42","3.0 / 141","2.2 / 161","3.0 / 146","4.6 / 153","4.7 / 155","2.7"
"04","3.0 / 139","4.1 / 149","1.8 / 144","1.2 / 123","0.3 / 90","0.4 / 148","0.8 / 118","3.0 / 146","2.5 / 159","0.3 / 10","1.7 / 292","1.9 / 288","1.6 / 293","1.7 / 294","2.1 / 320","1.8 / 340","1.6 / 324","0.8 / 313","0.0 / 0","0.1 / 0","0.1 / 0","0.4 / 234","2.0 / 162","1.1 / 267","1.4"
"05","0.7 / 304","0.1 / 0","0.2 / 0","1.4 / 330","1.2 / 326","0.4 / 306","0.2 / 0","2.9 / 160","3.8 / 169","1.1 / 291","0.3 / 88","1.5 / 167","0.2 / 0","0.8 / 321","1.3 / 311","1.7 / 302","2.3 / 338","0.7 / 318","0.5 / 322","1.8 / 321","0.4 / 129","1.0 / 118","2.0 / 139","2.8 / 149","1.2"
"06","2.8 / 157","2.6 / 145","0.4 / 331","1.5 / 321","1.3 / 299","1.9 / 331","1.1 / 308","0.0 / 0","0.4 / 332","0.5 / 261","2.6 / 345","1.9 / 355","2.3 / 9","1.4 / 10","2.4 / 21","2.4 / 14","3.3 / 16","3.4 / 18","3.5 / 17","3.1 / 14","2.9 / 18","3.2 / 20","3.1 / 16","3.8 / 22","2.2"
"07","3.6 / 9","4.2 / 18","4.2 / 10","3.3 / 14","4.0 / 17","3.2 / 7","2.9 / 17","2.8 / 17","2.8 / 14","3.2 / 9","3.5 / 20","3.5 / 15","4.5 / 14","3.2 / 9","2.9 / 16","3.6 / 15","3.7 / 18","3.5 / 21","2.2 / 6","3.0 / 24","3.8 / 25","2.3 / 26","2.8 / 24","3.0 / 20","3.3"
"08","3.2 / 29","3.3 / 20","3.2 / 21","3.4 / 18","4.1 / 23","3.2 / 17","3.1 / 19","3.8 / 19","3.7 / 24","4.1 / 24","2.8 / 28","2.9 / 8","2.9 / 22","2.6 / 24","2.7 / 34","2.1 / 31","1.7 / 37","1.3 / 33","1.8 / 28","1.6 / 54","1.3 / 46","1.5 / 123","1.1 / 69","0.8 / 66","2.6"
"09","0.3 / 88","0.6 / 49","0.6 / 92","0.4 / 40","0.5 / 105","0.9 / 116","3.1 / 147","1.3 / 154","3.9 / 149","4.6 / 138","4.2 / 135","4.4 / 144","5.8 / 150","6.4 / 152","4.2 / 143","4.1 / 141","3.9 / 144","3.9 / 146","4.5 / 157","5.4 / 153","4.4 / 149","4.9 / 155","4.3 / 156","4.2 / 151","3.4"
"10","3.8 / 163","2.0 / 155","0.4 / 42","1.2 / 138","2.0 / 153","1.1 / 157","1.1 / 114","3.2 / 167","3.9 / 169","2.5 / 163","1.2 / 284","1.6 / 277","1.6 / 288","1.1 / 310","1.0 / 295","0.3 / 304","0.1 / 0","0.5 / 298","0.4 / 18","0.5 / 91","1.7 / 137","3.6 / 147","3.3 / 146","1.7 / 135","1.7"
"11","2.6 / 147","1.4 / 164","0.8 / 43","1.6 / 30","0.1 / 0","0.6 / 46","0.3 / 308","1.8 / 7","1.6 / 10","1.4 / 3","3.0 / 27","3.7 / 16","4.7 / 17","4.3 / 23","3.9 / 22","3.7 / 21","3.3 / 27","3.4 / 25","2.2 / 17","1.0 / 76","1.2 / 56","2.4 / 24","2.4 / 26","1.8 / 23","2.2"
"12","0.7 / 98","1.3 / 348","0.7 / 94","0.4 / 71","0.3 / 67","0.1 / 0","0.6 / 80","0.3 / 43","1.4 / 14","1.2 / 299","3.6 / 155","4.0 / 168","3.2 / 144","5.3 / 164","5.1 / 162","6.0 / 158","4.2 / 153","2.9 / 158","2.4 / 146","3.8 / 160","4.2 / 157","4.4 / 158","5.8 / 165","5.3 / 164","2.8"
"13","6.0 / 167","3.3 / 140","3.0 / 140","1.2 / 82","0.5 / 106","2.3 / 142","3.2 / 145","4.0 / 152","3.1 / 163","0.6 / 130","2.7 / 312","2.0 / 311","1.5 / 304","1.7 / 310","1.1 / 309","2.0 / 306","1.3 / 296","1.4 / 307","2.8 / 149","2.9 / 147","3.1 / 142","3.5 / 151","2.3 / 139","0.7 / 336","2.3"
