"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","0.6 / 218","0.3 / 0","0.8 / 49","0.4 / 190","0.1 / 0","0.1 / 0","1.2 / 327","1.4 / 316","2.4 / 293","2.0 / 250","1.8 / 248","2.4 / 259","2.2 / 271","2.5 / 59","0.6 / 137","1.3 / 86","1.9 / 81","1.7 / 112","1.7 / 134","1.9 / 107","1.8 / 120","1.5 / 103","2.0 / 132","2.5 / 135","1.5"
"02","2.2 / 111","2.5 / 111","2.2 / 134","1.7 / 130","1.7 / 113","2.0 / 121","1.8 / 99","2.0 / 87","3.3 / 80","3.1 / 90","3.7 / 95","2.9 / 108","3.3 / 105","4.0 / 94","4.4 / 98","4.1 / 112","3.8 / 123","3.9 / 119","3.7 / 117","4.0 / 125","4.4 / 124","3.5 / 125","1.8 / 160","2.5 / 150","3.0"
"03","3.9 / 135","2.7 / 110","0.7 / 151","1.3 / 181","2.5 / 292","3.6 / 152","3.8 / 143","1.9 / 297","3.6 / 145","2.1 / 108","0.7 / 242","1.1 / 71","0.8 / 44","1.2 / 56","1.1 / 71","1.5 / 111","0.9 / 149","0.2 / 0","1.1 / 124","1.6 / 129","1.0 / 190","0.8 / 208","1.7 / 142","2.0 / 315","1.7"
"04","1.1 / 89","2.1 / 153","0.7 / 209","0.7 / 360","1.4 / 294","1.5 / 161","0.4 / 305","0.5 / 360","1.7 / 207","0.5 / 5","0.5 / 108","1.4 / 127","1.1 / 360","0.7 / 58","0.4 / 360","1.4 / 59","1.2 / 115","1.1 / 76","1.3 / 174","1.3 / 125","1.3 / 148","0.2 / 0","1.8 / 102","1.5 / 122","1.1"
"05","0.4 / 108","0.3 / 215","0.1 / 0","0.2 / 0","0.2 / 0","1.8 / 127","1.4 / 102","1.0 / 111","0.1 / 0","1.4 / 73","1.4 / 304","2.3 / 301","1.9 / 292","0.8 / 269","0.2 / 0","1.1 / 61","0.9 / 95","0.1 / 0","1.4 / 127","1.3 / 260","0.4 / 233","0.5 / 32","1.6 / 89","2.3 / 148","1.0"
"06","0.7 / 104","0.4 / 76","0.5 / 79","1.5 / 110","2.5 / 251","0.6 / 47","0.7 / 123","0.5 / 149","1.3 / 112","1.0 / 231","0.5 / 179","0.8 / 57","0.7 / 277","0.2 / 0","0.6 / 141","0.9 / 41","0.0 / 0","0.3 / 126","0.2 / 0","2.2 / 135","0.8 / 83","0.3 / 169","2.7 / 149","1.2 / 162","0.9"
"07","0.3 / 360","0.7 / 149","0.6 / 38","1.1 / 137","0.1 / 0","0.5 / 360","0.9 / 266","2.4 / 50","0.9 / 69","2.0 / 65","1.2 / 66","2.9 / 65","2.2 / 69","2.2 / 85","1.4 / 74","1.6 / 88","0.3 / 104","1.4 / 57","1.3 / 59","1.8 / 70","0.7 / 66","1.8 / 125","2.2 / 120","4.0 / 86","1.4"
"08","2.4 / 96","2.9 / 86","2.4 / 88","3.0 / 63","1.9 / 90","3.1 / 63","1.9 / 155","2.1 / 59","1.8 / 56","0.7 / 76","1.2 / 136","1.1 / 131","1.6 / 93","1.0 / 157","1.0 / 121","1.2 / 100","0.9 / 106","0.8 / 282","0.6 / 81","0.2 / 0","0.1 / 0","0.8 / 211","0.2 / 0","0.6 / 219","1.4"
"09","0.0 / 0","0.2 / 0","0.0 / 0","0.1 / 0","0.0 / 0","0.2 / 0","1.4 / 123","1.7 / 183","1.9 / 261","2.0 / 276","1.4 / 349","3.6 / 277","1.8 / 264","1.5 / 285","2.1 / 297","0.3 / 322","0.5 / 18","1.1 / 60","0.2 / 0","0.0 / 0","0.5 / 194","0.3 / 144","0.6 / 197","0.2 / 0","0.9"
"10","0.3 / 172","0.1 / 0","0.5 / 187","0.3 / 177","0.4 / 141","0.8 / 283","0.2 / 0","1.2 / 138","0.7 / 134","1.3 / 255","2.5 / 270","3.5 / 273","5.8 / 253","6.2 / 290","5.1 / 291","5.1 / 285","2.6 / 282","0.6 / 199","0.8 / 213","1.5 / 138","1.8 / 132","1.3 / 104","0.5 / 84","1.3 / 112","1.9"
"11","1.8 / 119","1.7 / 85","0.2 / 0","0.1 / 0","0.6 / 200","0.7 / 132","0.2 / 0","0.5 / 32","0.6 / 345","1.0 / 272","1.0 / 292","3.3 / 292","1.9 / 331","3.8 / 297","2.2 / 314","1.2 / 294","1.1 / 42","0.8 / 119","0.7 / 175","0.4 / 130","0.1 / 0","0.4 / 99","1.0 / 124","0.8 / 63","1.1"
"12","0.1 / 0","0.1 / 0","0.3 / 88","1.1 / 136","0.2 / 0","0.3 / 60","0.4 / 36","0.5 / 104","0.8 / 216","1.7 / 69","0.9 / 73","1.2 / 292","1.8 / 250","1.6 / 298","1.6 / 295","1.5 / 253","2.2 / 301","1.4 / 282","0.1 / 0","1.1 / 243","0.3 / 191","0.4 / 92","1.0 / 107","0.3 / 360","0.9"
"13","0.6 / 223","0.2 / 0","0.4 / 349","0.1 / 0","0.1 / 0","1.0 / 161","0.9 / 122","1.3 / 151","0.6 / 127","1.4 / 326","1.6 / 327","1.9 / 311","1.8 / 332","1.3 / 356","1.5 / 20","2.0 / 295","2.1 / 262","1.5 / 270","0.7 / 250","0.6 / 300","1.7 / 251","1.2 / 266","0.3 / 266","0.1 / 0","1.0"
"14","0.1 / 0","0.0 / 0","0.1 / 0","0.4 / 151","1.3 / 143","0.6 / 260","0.4 / 61","1.2 / 207","0.5 / 126","2.7 / 264","4.0 / 264","2.1 / 248","0.8 / 360","1.5 / 274","1.6 / 286","3.7 / 303","1.2 / 291","0.9 / 342","0.8 / 254","0.5 / 284","1.1 / 255","0.5 / 204","0.3 / 216","0.1 / 0","1.1"
"15","1.1 / 151","0.4 / 183","1.2 / 65","1.1 / 91","1.7 / 121","1.4 / 119","2.4 / 140","1.5 / 139","0.8 / 134","1.3 / 219","1.2 / 240","1.6 / 209","2.7 / 292","2.0 / 20","1.5 / 23","1.0 / 36","0.9 / 98","0.6 / 239","0.3 / 143","1.6 / 44","0.7 / 29","0.1 / 0","0.6 / 17","0.7 / 38","1.2"
"16","1.8 / 14","0.9 / 51","0.8 / 137","0.3 / 360","0.5 / 69","0.6 / 51","0.3 / 118","1.6 / 72","2.3 / 58","1.9 / 49","3.0 / 57","1.6 / 350","1.1 / 282","1.8 / 78","1.5 / 28","0.5 / 356","0.2 / 0","0.4 / 248","0.8 / 255","0.7 / 257","1.2 / 264","1.4 / 246","0.9 / 160","0.8 / 156","1.1"
