"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","1.4 / 26","1.0 / 35","1.9 / 19","0.0 / 0","0.1 / 0","0.3 / 354","0.6 / 15","0.6 / 25","2.2 / 344","1.8 / 350","1.5 / 324","1.6 / 355","2.2 / 8","2.5 / 358","2.4 / 16","2.3 / 9","2.1 / 360","1.7 / 16","1.6 / 6","0.0 / 0","0.1 / 0","0.2 / 0","0.2 / 0","0.1 / 0","1.2"
"02","0.3 / 26","0.0 / 0","0.7 / 95","0.5 / 97","0.8 / 126","0.0 / 0","1.3 / 153","1.3 / 166","0.8 / 236","1.7 / 166","0.5 / 306","0.7 / 314","1.1 / 317","1.1 / 307","1.8 / 314","1.2 / 312","0.7 / 303","0.3 / 308","0.6 / 338","0.3 / 112","0.2 / 0","0.6 / 104","0.7 / 72","0.2 / 0","0.7"
"03","0.2 / 0","1.3 / 86","0.5 / 92","0.9 / 152","0.7 / 238","0.6 / 246","0.5 / 258","2.5 / 163","1.3 / 188","1.6 / 315","2.1 / 310","2.7 / 318","3.0 / 316","2.9 / 316","3.5 / 318","2.6 / 329","2.0 / 347","2.2 / 11","0.6 / 40","0.5 / 83","0.3 / 105","1.0 / 122","2.2 / 146","0.6 / 127","1.5"
"04","2.1 / 152","1.0 / 150","0.6 / 111","1.8 / 144","3.1 / 146","0.2 / 0","1.3 / 324","0.9 / 331","0.6 / 303","2.6 / 317","2.2 / 313","0.7 / 293","2.5 / 313","2.6 / 316","3.0 / 321","0.5 / 294","2.6 / 161","1.7 / 155","4.8 / 151","5.1 / 144","6.1 / 168","1.8 / 150","1.7 / 20","0.9 / 55","2.1"
"05","1.8 / 149","2.5 / 152","0.1 / 0","1.1 / 50","1.2 / 22","1.1 / 48","0.7 / 40","0.2 / 0","0.8 / 332","1.5 / 9","2.3 / 356","2.4 / 9","2.2 / 5","2.0 / 1","1.4 / 60","3.1 / 5","0.9 / 34","1.5 / 141","2.6 / 21","0.1 / 0","1.1 / 5","1.1 / 359","2.5 / 360","3.2 / 7","1.6"
"06","2.5 / 340","2.4 / 359","2.1 / 348","3.7 / 330","3.1 / 327","2.4 / 320","3.1 / 331","3.1 / 338","3.1 / 343","2.2 / 332","3.0 / 331","2.7 / 340","1.8 / 334","1.9 / 316","1.5 / 357","1.5 / 346","1.3 / 354","1.7 / 15","0.9 / 30","0.1 / 0","0.4 / 142","1.6 / 147","2.1 / 142","0.5 / 283","2.0"
"07","0.5 / 139","0.3 / 88","1.3 / 152","1.2 / 149","1.5 / 167","0.0 / 0","1.6 / 146","2.5 / 166","0.6 / 2","0.2 / 0","1.4 / 313","0.9 / 308","0.7 / 292","1.4 / 312","1.7 / 225","3.7 / 160","3.0 / 162","1.7 / 158","2.7 / 157","2.7 / 155","3.0 / 144","1.6 / 138","1.9 / 136","1.1 / 123","1.6"
"08","0.2 / 0","0.2 / 0","0.5 / 87","0.9 / 125","1.5 / 154","1.4 / 134","1.6 / 146","0.6 / 165","1.9 / 169","0.3 / 279","1.2 / 313","0.7 / 308","2.1 / 317","0.9 / 309","1.7 / 35","2.6 / 1","2.5 / 12","0.6 / 35","3.7 / 166","1.6 / 151","0.0 / 0","0.0 / 0","0.1 / 0","0.1 / 0","1.1"
"09","0.4 / 62","0.9 / 20","0.6 / 32","2.5 / 17","2.5 / 7","2.2 / 17","4.7 / 21","1.3 / 46","2.0 / 10","4.5 / 15","3.9 / 15","3.6 / 22","3.0 / 13","2.5 / 20","2.1 / 24","2.2 / 26","2.1 / 25","2.5 / 15","2.2 / 20","1.7 / 13","2.6 / 19","2.4 / 15","1.3 / 29","1.8 / 23","2.3"
"10","0.6 / 29","0.3 / 38","0.7 / 347","1.1 / 40","0.4 / 83","1.8 / 20","2.1 / 15","2.2 / 18","2.3 / 11","3.0 / 16","2.6 / 359","2.3 / 360","2.1 / 360","2.8 / 359","2.1 / 10","2.6 / 359","2.2 / 6","1.9 / 20","1.2 / 23","1.7 / 15","1.7 / 12","0.4 / 88","0.3 / 79","2.0 / 148","1.7"
"11","1.7 / 155","1.0 / 132","1.4 / 156","0.2 / 0","2.1 / 143","1.7 / 148","1.6 / 143","0.3 / 165","0.3 / 169","1.1 / 155","0.1 / 0","1.5 / 147","0.3 / 247","0.3 / 142","1.1 / 163","3.9 / 162","2.7 / 161","1.7 / 148","2.2 / 147","1.7 / 132","0.6 / 52","0.7 / 145","0.9 / 128","1.1 / 109","1.3"
"12","1.7 / 133","1.3 / 115","3.8 / 149","0.5 / 41","0.5 / 70","0.2 / 0","0.1 / 0","1.8 / 140","0.3 / 345","0.4 / 314","0.1 / 0","1.9 / 351","0.6 / 331","0.1 / 0","0.5 / 15","2.6 / 153","3.1 / 160","2.7 / 144","5.6 / 159","7.7 / 164","5.4 / 156","5.7 / 160","4.1 / 145","3.7 / 142","2.3"
"13","4.7 / 152","5.5 / 156","5.5 / 164","5.4 / 158","5.8 / 164","2.1 / 108","2.2 / 143","3.0 / 146","2.9 / 140","2.8 / 157","4.6 / 166","2.9 / 162","1.9 / 161","0.4 / 309","0.6 / 312","1.7 / 318","1.1 / 315","1.3 / 319","0.8 / 319","0.1 / 0","0.1 / 0","0.3 / 181","0.2 / 0","0.1 / 0","2.3"
"14","0.7 / 132","1.0 / 170","1.3 / 144","0.3 / 92","0.5 / 27","2.3 / 156","1.9 / 146","2.5 / 150","2.2 / 147","3.1 / 148","2.4 / 151","1.7 / 145","1.3 / 163","2.9 / 160","0.3 / 101","3.1 / 161","2.5 / 165","2.6 / 165","4.9 / 157","1.3 / 227","1.3 / 186","0.8 / 140","1.3 / 151","3.6 / 159","1.9"
