"日/時","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","平均"
"01","21.8","22.1","22.8","22.9","22.4","22.9","23.6","25.3","25.7","25.6","26.9","28.5","28.3","27.4","28.6","29.3","28.7","28.5","25.9","24.6","24.6","24.2","23.5","23.4","25.3"
"02","23.1","22.4","22.6","22.3","21.8","22.7","25.0","26.6","29.0","30.5","32.3","33.8","34.8","33.4","32.8","32.4","31.8","30.9","28.4","27.4","27.0","25.9","25.1","25.1","27.8"
"03","24.6","25.1","24.4","24.2","23.8","24.2","26.2","28.3","30.4","31.5","33.3","34.2","34.7","34.5","32.0","31.5","31.3","30.3","29.4","27.4","26.8","26.3","26.0","25.6","28.6"
"04","26.2","25.6","26.5","25.0","24.6","25.0","26.7","28.4","29.6","30.7","32.8","32.9","32.6","34.4","32.2","30.6","27.9","24.9","25.2","24.6","24.4","24.4","24.7","24.7","27.7"
"05","24.8","25.0","24.4","24.8","24.4","24.6","24.5","24.8","25.1","25.6","25.8","25.2","25.3","25.9","25.9","25.6","25.7","25.5","25.3","25.1","25.0","25.0","25.0","25.3","25.2"
"06","25.7","25.6","25.5","25.2","25.5","25.6","25.7","25.4","25.6","25.6","25.5","25.3","25.3","25.8","27.4","28.0","27.5","27.0","26.2","25.6","25.1","24.7","24.3","24.2","25.7"
"07","24.4","24.4","24.5","24.1","24.0","24.7","26.7","28.9","30.6","31.4","31.2","32.4","32.5","28.3","26.4","26.7","27.4","27.1","26.5","25.9","25.1","24.8","25.0","24.4","27.0"
"08","24.2","24.3","24.3","24.3","24.2","25.1","25.8","27.2","28.7","30.2","30.9","32.0","27.4","26.2","25.4","25.3","25.4","25.4","25.2","25.2","25.2","25.1","25.2","25.2","26.1"
"09","25.1","25.1","25.0","24.9","24.9","25.0","25.4","25.3","25.4","25.2","25.2","25.2","24.9","24.7","24.3","24.2","24.0","23.8","23.3","23.2","23.1","23.1","23.0","22.9","24.4"
"10","22.9","22.8","22.8","22.9","22.9","23.1","23.2","23.4","23.5","23.6","23.5","23.8","24.5","24.1","24.1","23.8","23.2","23.3","22.8","22.8","22.5","22.5","22.4","22.3","23.2"
"11","22.0","22.0","21.8","20.9","21.1","21.2","22.0","22.8","22.9","22.7","22.9","22.8","23.4","22.3","22.5","22.8","22.3","22.1","21.9","22.1","21.8","22.2","21.9","22.2","22.2"
"12","22.1","22.3","22.4","22.3","22.3","22.7","23.3","24.3","25.5","26.5","26.7","26.5","24.9","24.0","23.7","23.5","23.0","22.5","22.1","21.8","21.7","21.7","21.8","21.8","23.3"
"13","21.8","21.9","22.1","22.1","22.2","22.5","22.9","23.4","24.1","24.2","26.3","27.1","27.3","26.1","26.7","26.5","26.4","26.2","25.3","24.9","24.7","24.2","23.8","23.7","24.4"
"14","23.3","23.3","23.3","23.1","23.2","23.9","25.1","25.1","24.9","25.6","25.3","25.4","25.8","27.1","27.5","27.3","26.0","25.4","25.1","24.8","24.4","24.1","24.1","24.2","24.9"
"15","24.3","24.1","24.2","24.2","23.7","24.3","25.4","26.2","27.0","27.6","27.9","27.6","28.1","28.3","28.3","27.8","27.1","26.4","25.7","25.4","25.3","25.0","24.5","24.2","25.9"
"16","23.9","24.0","24.3","24.7","24.1","24.1","25.6","26.4","27.4","28.6","29.4","31.0","31.4","31.2","27.6","25.8","25.2","25.3","24.9","24.7","24.4","24.1","24.0","24.4","26.1"
"17","23.9","23.8","23.7","23.5","23.5","23.6","24.5","25.6","27.6","29.5","30.9","32.2","33.4","32.1","25.0","25.1","24.8","25.1","25.1","25.2","25.1","24.5","24.2","24.1","26.1"
"18","24.2","23.7","24.0","24.0","23.5","24.1","25.4","27.7","29.5","31.5","32.4","31.8","31.6","27.5","25.3","24.8","25.3","25.5","25.1","24.8","24.7","24.7","24.7","24.2","26.3"
"19","23.9","24.5","24.1","23.8","23.2","24.1","25.9","28.1","30.1","31.8","33.0","33.3","32.0","32.9","33.0","31.2","30.1","28.8","27.7","27.3","26.1","25.2","25.1","25.0","27.9"
"20","24.3","25.1","24.4","23.8","24.1","24.9","26.3","28.7","30.6","32.1","33.0","33.9","34.7","34.0","34.1","32.9","33.0","31.6","28.3","27.9","26.9","26.4","26.1","25.6","28.9"
"21","25.3","24.4","24.1","23.5","23.4","24.5","26.1","28.1","29.9","32.2","34.0","35.1","36.0","36.4","35.5","34.8","33.2","31.5","29.6","28.4","27.7","26.6","25.7","26.1","29.3"
"22","24.5","24.3","23.9","23.7","24.8","24.9","26.3","28.4","30.3","31.4","33.5","34.9","35.1","35.2","33.9","33.0","31.9","31.3","29.7","28.2","27.3","26.9","26.7","26.4","29.0"
"23","25.9","25.2","25.4","25.5","25.5","25.6","26.9","28.2","29.9","31.6","33.1","34.5","34.5","34.2","32.8","32.7","32.2","31.2","29.5","27.7","27.5","26.9","26.0","25.3","29.1"
"24","24.9","25.0","24.5","24.1","24.1","24.4","26.0","27.5","29.6","32.1","33.6","34.0","34.4","34.7","34.2","33.4","33.3","30.5","29.4","28.5","28.4","28.0","27.0","27.7","29.1"
"25","26.9","27.0","26.4","26.5","26.3","26.6","27.4","28.0","27.7","27.3","27.5","28.2","29.3","29.8","30.0","27.7","26.1","26.1","26.3","26.0","25.6","25.3","25.2","25.4","27.0"
"26","25.2","25.2","25.1","25.1","25.1","25.1","24.8","25.0","25.1","25.1","25.5","26.3","26.5","26.1","26.3","25.6","25.2","25.2","24.9","24.7","24.7","24.5","24.5","24.4","25.2"
"27","24.3","24.4","24.3","24.3","24.4","24.6","24.9","25.3","26.1","26.9","27.5","27.2","28.5","27.9","28.3","26.9","25.6","25.6","25.3","25.3","25.1","25.1","25.0","24.8","25.7"
"28","24.8","24.8","24.6","24.6","24.4","24.7","26.0","27.2","28.3","29.6","31.4","31.4","31.6","31.5","29.4","28.6","25.9","26.2","25.7","25.6","25.5","25.5","25.3","25.1","27.0"
"29","25.1","24.7","24.6","24.3","24.2","24.6","25.2","26.9","29.9","31.8","33.1","33.9","32.7","34.2","33.4","31.9","30.1","27.7","27.6","27.3","27.6","27.2","26.9","26.0","28.4"
"30","25.5","24.7","25.4","25.3","25.7","25.9","27.8","30.3","31.5","32.7","33.6","34.1","33.7","33.8","33.0","31.8","30.3","28.0","28.0","27.3","27.2","27.0","27.1","26.6","29.0"
"平均","24.3","24.2","24.2","24.0","23.9","24.3","25.4","26.6","27.7","28.7","29.6","30.1","30.2","29.8","29.0","28.4","27.7","27.0","26.2","25.7","25.4","25.0","24.8","24.7","平均"
